h,k,l,I,sigma
0,6,-12,562.0,855.99
0,8,-16,1347.2,896.44
1,-7,17,25.48,385.13
1,7,-13,140.74,538.53
1,9,-17,861.33,892.02
2,-6,16,670.81,904.77
2,10,-18,264.46,758.71
3,-7,19,-30.25,767.65
4,-4,12,11173.74,1010.39
4,2,-2,9151.97,1073.92
4,4,-6,-198.94,736.49
4,6,-10,617.17,865.31
4,8,-14,338.68,894.02
5,-5,15,88.18,817.32
5,-1,5,1153.68,797.36
5,7,-11,251.92,541.92
5,9,-15,547.88,896.51
6,-6,18,514.93,607.42
6,-2,8,949.67,781.35
6,10,-16,174.18,707.65
7,-5,17,378.37,940.78
7,-3,11,192.73,668.37
7,11,-17,6.17,535.0
8,-4,14,168.82,466.54
8,4,-4,54704.04,1527.79
8,6,-8,292.41,1053.38
8,8,-12,1807.64,981.28
9,-3,13,1706.41,1023.28
9,1,3,1421.24,1080.77
9,3,-1,1082.56,966.48
9,5,-5,629.28,616.41
9,7,-9,-378.49,769.09
9,9,-13,1154.69,932.05
10,-4,16,409.63,809.88
10,0,6,1377.35,958.05
10,8,-10,274.17,473.03
10,10,-14,485.72,811.5
11,-1,9,-326.66,814.95
11,11,-15,618.22,708.58
12,-2,12,217.31,539.12
13,-1,11,1722.57,1178.03
13,5,-3,3837.44,1530.43
13,7,-7,1320.03,1188.95
14,-2,14,-253.46,891.95
14,2,4,57.89,472.46
14,4,0,1044.37,1806.59
14,6,-4,1065.59,1019.95
14,8,-8,695.74,975.56
14,10,-12,969.33,1045.36
15,1,7,151.15,541.86
15,3,3,16216.9,3017.45
15,5,-1,481.46,542.48
15,7,-5,-130.48,470.27
15,9,-9,729.71,763.21
16,2,6,2255.89,1584.3
16,10,-10,215.49,539.63
17,1,9,1018.22,1143.99
18,0,12,433.75,851.8
18,2,8,1207.46,1644.72
19,7,-3,2218.04,1600.3
20,4,4,224.4,764.02
20,6,0,2421.25,1923.42
-20,-4,0,734.47,1198.3
-20,-2,-4,7392.17,3515.0
-20,0,-8,1221.23,1198.31
-19,-5,3,3384.5,1427.9
-18,-6,6,79.05,1342.07
-17,-7,9,850.82,1171.63
-17,-3,-1,4718.94,2344.02
-17,-1,-5,1676.73,1291.85
-17,1,-9,917.11,972.1
-17,3,-13,329.07,1001.1
-16,-8,12,1232.77,1044.81
-16,-6,6,-300.95,760.65
-16,-4,2,2808.07,1810.8
-16,4,-14,219.93,465.12
-15,-7,9,889.25,852.03
-14,-8,12,697.05,856.04
-14,-2,-2,71564.88,6899.66
-14,0,-6,669.94,1012.04
-14,2,-10,689.1,891.72
-14,4,-14,1030.25,1041.17
-13,-5,5,385.18,935.82
-13,5,-15,708.92,600.37
-12,-6,8,527.44,1009.35
-11,-7,11,931.58,975.22
-11,-1,-3,44881.1,1936.9
-11,1,-7,123.41,978.84
-11,3,-11,469.45,977.93
-11,5,-15,1331.44,1002.53
-10,-8,14,202.18,851.51
-10,-4,4,232.95,1020.39
-10,6,-16,500.15,804.95
-9,-9,17,493.76,718.65
-9,-5,7,7065.22,1099.58
-9,7,-17,-88.54,461.63
-8,-6,10,9973.09,1072.97
-8,0,-4,66476.42,1859.27
-8,2,-8,2040.1,1132.36
-8,4,-12,3538.45,1025.71
-7,-7,13,728.14,899.85
-7,-3,3,1407.28,837.33
-7,5,-13,543.19,710.39
-7,7,-17,737.23,933.9
-6,-8,16,513.02,763.09
-6,-4,6,2432.3,1021.38
-6,8,-18,46.69,759.5
-5,-9,19,-5.9,608.84
-5,-5,9,2204.32,1008.62
-5,9,-19,288.72,537.74
-4,-8,18,-92.48,899.36
-4,-6,12,653.89,906.09
-4,0,-2,1811.73,1341.34
-4,2,-6,1196.7,695.02
-4,4,-10,616.06,816.47
-4,6,-14,2367.41,946.64
-3,-7,15,182.01,767.36
-3,-3,5,399.95,687.03
-3,7,-15,288.13,761.81
-3,9,-19,1207.39,892.69
-2,-8,18,138.99,542.24
-2,-4,8,885.43,826.02
-1,-7,17,1128.37,899.84
-1,-5,11,1085.34,774.29
0,-8,20,476.46,856.1
0,-6,14,-56.98,605.63
0,4,-8,229.27,622.46
0,6,-12,562.0,855.99
0,8,-16,1347.2,896.44
1,7,-13,140.74,538.53
1,9,-17,861.33,892.02
2,-6,16,670.81,904.77
2,10,-18,264.46,758.71
3,-7,19,-30.25,767.65
3,-3,9,17070.84,1092.9
4,-4,12,11173.74,1010.39
4,2,-2,9151.97,1073.92
4,4,-6,-198.94,736.49
4,6,-10,617.17,865.31
4,8,-14,338.68,894.02
5,-5,15,88.18,817.32
5,-1,5,1153.68,797.36
5,7,-11,251.92,541.92
5,9,-15,547.88,896.51
6,-6,18,514.93,607.42
6,-2,8,949.67,781.35
6,10,-16,174.18,707.65
7,-5,17,378.37,940.78
7,-3,11,192.73,668.37
7,11,-17,6.17,535.0
8,-4,14,168.82,466.54
8,4,-4,54704.04,1527.79
8,6,-8,292.41,1053.38
8,8,-12,1807.64,981.28
9,-3,13,1706.41,1023.28
9,1,3,1421.24,1080.77
9,3,-1,1082.56,966.48
9,5,-5,629.28,616.41
9,7,-9,-378.49,769.09
9,9,-13,1154.69,932.05
10,-4,16,409.63,809.88
10,0,6,1377.35,958.05
10,8,-10,274.17,473.03
10,10,-14,485.72,811.5
11,-1,9,-326.66,814.95
11,11,-15,618.22,708.58
12,-2,12,217.31,539.12
12,0,8,3501.87,1347.65
13,-1,11,1722.57,1178.03
13,5,-3,3837.44,1530.43
13,7,-7,1320.03,1188.95
13,9,-11,566.46,1009.17
14,-2,14,-253.46,891.95
14,2,4,57.89,472.46
14,4,0,1044.37,1806.59
14,6,-4,1065.59,1019.95
14,8,-8,695.74,975.56
14,10,-12,969.33,1045.36
15,-1,13,1238.9,1180.12
15,1,7,151.15,541.86
15,3,3,16216.9,3017.45
15,5,-1,481.46,542.48
15,7,-5,-130.48,470.27
15,9,-9,729.71,763.21
16,2,6,2255.89,1584.3
16,10,-10,215.49,539.63
17,1,9,1018.22,1143.99
18,0,12,433.75,851.8
18,2,8,1207.46,1644.72
19,7,-3,2218.04,1600.3
20,4,4,224.4,764.02
20,6,0,2421.25,1923.42
-20,-4,0,734.47,1198.3
-20,-2,-4,7392.17,3515.0
-20,0,-8,1221.23,1198.31
-19,-5,3,3384.5,1427.9
-18,-6,6,79.05,1342.07
-18,0,-8,2045.37,1542.97
-17,-7,9,850.82,1171.63
-17,-3,-1,4718.94,2344.02
-17,-1,-5,1676.73,1291.85
-17,1,-9,917.11,972.1
-17,3,-13,329.07,1001.1
-16,-8,12,1232.77,1044.81
-16,-6,6,-300.95,760.65
-16,-4,2,2808.07,1810.8
-15,-7,9,889.25,852.03
-14,-8,12,697.05,856.04
-14,-2,-2,71564.88,6899.66
-14,0,-6,669.94,1012.04
-14,2,-10,689.1,891.72
-14,4,-14,1030.25,1041.17
-13,-5,5,385.18,935.82
-13,5,-15,708.92,600.37
-12,-6,8,527.44,1009.35
-11,-7,11,931.58,975.22
-11,-1,-3,44881.1,1936.9
-11,1,-7,123.41,978.84
-11,3,-11,469.45,977.93
-11,5,-15,1331.44,1002.53
-10,-8,14,202.18,851.51
-10,-4,4,232.95,1020.39
-10,6,-16,500.15,804.95
-9,-9,17,493.76,718.65
-9,-5,7,7065.22,1099.58
-8,-6,10,9973.09,1072.97
-8,0,-4,66476.42,1859.27
-8,2,-8,2040.1,1132.36
-8,4,-12,3538.45,1025.71
-7,-7,13,728.14,899.85
-7,-3,3,1407.28,837.33
-7,5,-13,543.19,710.39
-7,7,-17,737.23,933.9
-6,-8,16,513.02,763.09
-6,-4,6,2432.3,1021.38
-6,8,-18,46.69,759.5
-5,-9,19,-5.9,608.84
-5,-5,9,2204.32,1008.62
-5,9,-19,288.72,537.74
-4,-8,18,-92.48,899.36
-4,-6,12,653.89,906.09
-4,0,-2,1811.73,1341.34
-4,2,-6,1196.7,695.02
-4,4,-10,616.06,816.47
-4,6,-14,2367.41,946.64
-3,-7,15,182.01,767.36
-3,-3,5,399.95,687.03
-3,7,-15,288.13,761.81
-3,9,-19,1207.39,892.69
-2,-8,18,138.99,542.24
-2,-4,8,885.43,826.02
-1,-7,17,1128.37,899.84
-1,-5,11,1085.34,774.29
-1,3,-7,29647.75,1197.3
-1,5,-11,6731.74,990.78
0,-8,20,476.46,856.1
0,-6,14,-56.98,605.63
0,4,-8,229.27,622.46
0,6,-12,562.0,855.99
0,8,-16,1347.2,896.44
1,-5,13,3679.14,970.21
1,7,-13,140.74,538.53
1,9,-17,861.33,892.02
2,-6,16,670.81,904.77
2,10,-18,264.46,758.71
3,-7,19,-30.25,767.65
3,-3,9,17070.84,1092.9
3,5,-9,10177.11,1061.34
4,-6,18,202.44,940.02
4,-4,12,11173.74,1010.39
4,2,-2,9151.97,1073.92
4,4,-6,-198.94,736.49
4,6,-10,617.17,865.31
4,8,-14,338.68,894.02
5,-5,15,88.18,817.32
5,-1,5,1153.68,797.36
5,7,-11,251.92,541.92
5,9,-15,547.88,896.51
6,-6,18,514.93,607.42
6,-2,8,949.67,781.35
6,10,-16,174.18,707.65
7,-5,17,378.37,940.78
7,-3,11,192.73,668.37
7,11,-17,6.17,535.0
8,-2,10,6754.08,1094.15
8,4,-4,54704.04,1527.79
8,6,-8,292.41,1053.38
8,8,-12,1807.64,981.28
9,-5,19,588.05,932.21
9,-3,13,1706.41,1023.28
9,1,3,1421.24,1080.77
9,3,-1,1082.56,966.48
9,5,-5,629.28,616.41
9,7,-9,-378.49,769.09
9,9,-13,1154.69,932.05
10,-4,16,409.63,809.88
10,0,6,1377.35,958.05
10,10,-14,485.72,811.5
11,-3,15,559.59,1009.72
11,-1,9,-326.66,814.95
11,11,-15,618.22,708.58
12,-2,12,217.31,539.12
12,0,8,3501.87,1347.65
13,-1,11,1722.57,1178.03
13,5,-3,3837.44,1530.43
13,7,-7,1320.03,1188.95
13,9,-11,566.46,1009.17
14,-2,14,-253.46,891.95
14,4,0,1044.37,1806.59
14,6,-4,1065.59,1019.95
14,8,-8,695.74,975.56
14,10,-12,969.33,1045.36
15,-1,13,1238.9,1180.12
15,1,7,151.15,541.86
15,3,3,16216.9,3017.45
15,5,-1,481.46,542.48
15,9,-9,729.71,763.21
16,2,6,2255.89,1584.3
16,10,-10,215.49,539.63
17,1,9,1018.22,1143.99
18,0,12,433.75,851.8
18,2,8,1207.46,1644.72
19,7,-3,2218.04,1600.3
20,4,4,224.4,764.02
20,6,0,2421.25,1923.42
-20,-4,0,734.47,1198.3
-20,-2,-4,7392.17,3515.0
-20,0,-8,1221.23,1198.31
-19,-5,3,3384.5,1427.9
-18,-6,6,79.05,1342.07
-18,0,-8,2045.37,1542.97
-17,-7,9,850.82,1171.63
-17,-3,-1,4718.94,2344.02
-17,-1,-5,1676.73,1291.85
-17,1,-9,917.11,972.1
-17,3,-13,329.07,1001.1
-16,-8,12,1232.77,1044.81
-16,-6,6,-300.95,760.65
-16,-4,2,2808.07,1810.8
-15,-7,9,889.25,852.03
-15,1,-9,1841.48,1321.97
-14,-8,12,697.05,856.04
-14,-2,-2,71564.88,6899.66
-14,0,-6,669.94,1012.04
-14,2,-10,689.1,891.72
-14,4,-14,1030.25,1041.17
-13,-5,5,385.18,935.82
-13,5,-15,708.92,600.37
-12,-6,8,527.44,1009.35
-11,-7,11,931.58,975.22
-11,-1,-3,44881.1,1936.9
-11,1,-7,123.41,978.84
-11,3,-11,469.45,977.93
-11,5,-15,1331.44,1002.53
-10,-8,14,202.18,851.51
-10,-4,4,232.95,1020.39
-10,6,-16,500.15,804.95
-9,-9,17,493.76,718.65
-9,-5,7,7065.22,1099.58
-8,-8,16,1080.28,935.59
-8,-6,10,9973.09,1072.97
-8,0,-4,66476.42,1859.27
-8,2,-8,2040.1,1132.36
-8,4,-12,3538.45,1025.71
-8,6,-16,313.79,927.72
-7,-7,13,728.14,899.85
-7,-3,3,1407.28,837.33
-7,5,-13,543.19,710.39
-7,7,-17,737.23,933.9
-6,-8,16,513.02,763.09
-6,-4,6,2432.3,1021.38
-6,8,-18,46.69,759.5
-5,-9,19,-5.9,608.84
-5,-5,9,2204.32,1008.62
-4,-8,18,-92.48,899.36
-4,-6,12,653.89,906.09
-4,0,-2,1811.73,1341.34
-4,2,-6,1196.7,695.02
-4,4,-10,616.06,816.47
-4,6,-14,2367.41,946.64
-4,8,-18,316.92,892.12
-3,-7,15,182.01,767.36
-3,-3,5,399.95,687.03
-3,7,-15,288.13,761.81
-3,9,-19,1207.39,892.69
-2,-4,8,885.43,826.02
-1,-7,17,1128.37,899.84
-1,-5,11,1085.34,774.29
-1,3,-7,29647.75,1197.3
-1,5,-11,6731.74,990.78
0,-8,20,476.46,856.1
0,-6,14,-56.98,605.63
0,4,-8,229.27,622.46
0,6,-12,562.0,855.99
0,8,-16,1347.2,896.44
1,-5,13,3679.14,970.21
1,9,-17,861.33,892.02
2,-6,16,670.81,904.77
2,10,-18,264.46,758.71
3,-7,19,-30.25,767.65
3,-3,9,17070.84,1092.9
3,5,-9,10177.11,1061.34
4,-6,18,202.44,940.02
4,-4,12,11173.74,1010.39
4,2,-2,9151.97,1073.92
4,4,-6,-198.94,736.49
4,6,-10,617.17,865.31
4,8,-14,338.68,894.02
5,-5,15,88.18,817.32
5,-1,5,1153.68,797.36
5,9,-15,547.88,896.51
6,-6,18,514.93,607.42
6,-2,8,949.67,781.35
6,10,-16,174.18,707.65
7,-5,17,378.37,940.78
7,-3,11,192.73,668.37
8,-2,10,6754.08,1094.15
8,4,-4,54704.04,1527.79
8,6,-8,292.41,1053.38
8,8,-12,1807.64,981.28
9,-5,19,588.05,932.21
9,-3,13,1706.41,1023.28
9,1,3,1421.24,1080.77
9,3,-1,1082.56,966.48
9,5,-5,629.28,616.41
9,7,-9,-378.49,769.09
9,9,-13,1154.69,932.05
10,-4,16,409.63,809.88
10,0,6,1377.35,958.05
10,10,-14,485.72,811.5
11,-3,15,559.59,1009.72
11,-1,9,-326.66,814.95
11,11,-15,618.22,708.58
12,0,8,3501.87,1347.65
13,-1,11,1722.57,1178.03
13,5,-3,3837.44,1530.43
13,7,-7,1320.03,1188.95
13,9,-11,566.46,1009.17
14,-2,14,-253.46,891.95
14,4,0,1044.37,1806.59
14,6,-4,1065.59,1019.95
14,8,-8,695.74,975.56
14,10,-12,969.33,1045.36
15,-1,13,1238.9,1180.12
15,3,3,16216.9,3017.45
15,9,-9,729.71,763.21
16,2,6,2255.89,1584.3
17,1,9,1018.22,1143.99
18,0,12,433.75,851.8
18,2,8,1207.46,1644.72
19,7,-3,2218.04,1600.3
20,4,4,224.4,764.02
20,6,0,2421.25,1923.42
-20,-4,0,734.47,1198.3
-20,-2,-4,7392.17,3515.0
-20,0,-8,1221.23,1198.31
-19,-5,3,3384.5,1427.9
-18,-6,6,79.05,1342.07
-18,0,-8,2045.37,1542.97
-17,-7,9,850.82,1171.63
-17,-3,-1,4718.94,2344.02
-17,-1,-5,1676.73,1291.85
-17,1,-9,917.11,972.1
-17,3,-13,329.07,1001.1
-16,-8,12,1232.77,1044.81
-16,-6,6,-300.95,760.65
-16,-4,2,2808.07,1810.8
-15,-7,9,889.25,852.03
-15,1,-9,1841.48,1321.97
-15,3,-13,-2.99,1131.53
-14,-8,12,697.05,856.04
-14,-2,-2,71564.88,6899.66
-14,0,-6,669.94,1012.04
-14,2,-10,689.1,891.72
-14,4,-14,1030.25,1041.17
-13,-5,5,385.18,935.82
-12,-8,14,754.97,972.95
-12,-6,8,527.44,1009.35
-11,-7,11,931.58,975.22
-11,-1,-3,44881.1,1936.9
-11,1,-7,123.41,978.84
-11,3,-11,469.45,977.93
-11,5,-15,1331.44,1002.53
-10,-8,14,202.18,851.51
-10,-4,4,232.95,1020.39
-10,6,-16,500.15,804.95
-9,-9,17,493.76,718.65
-9,-5,7,7065.22,1099.58
-8,-8,16,1080.28,935.59
-8,-6,10,9973.09,1072.97
-8,0,-4,66476.42,1859.27
-8,2,-8,2040.1,1132.36
-8,4,-12,3538.45,1025.71
-8,6,-16,313.79,927.72
-7,-7,13,728.14,899.85
-7,-3,3,1407.28,837.33
-7,5,-13,543.19,710.39
-7,7,-17,737.23,933.9
-6,-8,16,513.02,763.09
-6,-4,6,2432.3,1021.38
-6,8,-18,46.69,759.5
-5,-5,9,2204.32,1008.62
-5,3,-9,16359.9,1126.15
-4,-8,18,-92.48,899.36
-4,-6,12,653.89,906.09
-4,0,-2,1811.73,1341.34
-4,2,-6,1196.7,695.02
-4,4,-10,616.06,816.47
-4,6,-14,2367.41,946.64
-4,8,-18,316.92,892.12
-3,-7,15,182.01,767.36
-3,-3,5,399.95,687.03
-3,7,-15,288.13,761.81
-3,9,-19,1207.39,892.69
-2,-6,14,223.12,938.97
-2,-4,8,885.43,826.02
-1,-7,17,1128.37,899.84
-1,-5,11,1085.34,774.29
-1,3,-7,29647.75,1197.3
-1,5,-11,6731.74,990.78
0,-8,20,476.46,856.1
0,6,-12,562.0,855.99
0,8,-16,1347.2,896.44
1,-5,13,3679.14,970.21
1,9,-17,861.33,892.02
2,-6,16,670.81,904.77
2,10,-18,264.46,758.71
3,-7,19,-30.25,767.65
3,-3,9,17070.84,1092.9
3,5,-9,10177.11,1061.34
4,-6,18,202.44,940.02
4,-4,12,11173.74,1010.39
4,2,-2,9151.97,1073.92
4,4,-6,-198.94,736.49
4,6,-10,617.17,865.31
4,8,-14,338.68,894.02
4,10,-18,301.56,890.13
5,-5,15,88.18,817.32
5,-1,5,1153.68,797.36
5,9,-15,547.88,896.51
6,-2,8,949.67,781.35
6,10,-16,174.18,707.65
7,-5,17,378.37,940.78
7,-3,11,192.73,668.37
8,-2,10,6754.08,1094.15
8,4,-4,54704.04,1527.79
8,6,-8,292.41,1053.38
8,8,-12,1807.64,981.28
9,-5,19,588.05,932.21
9,-3,13,1706.41,1023.28
9,1,3,1421.24,1080.77
9,3,-1,1082.56,966.48
9,7,-9,-378.49,769.09
9,9,-13,1154.69,932.05
10,-4,16,409.63,809.88
10,0,6,1377.35,958.05
10,10,-14,485.72,811.5
11,-3,15,559.59,1009.72
11,-1,9,-326.66,814.95
11,11,-15,618.22,708.58
12,0,8,3501.87,1347.65
13,-1,11,1722.57,1178.03
13,5,-3,3837.44,1530.43
13,7,-7,1320.03,1188.95
13,9,-11,566.46,1009.17
14,-2,14,-253.46,891.95
14,4,0,1044.37,1806.59
14,6,-4,1065.59,1019.95
14,8,-8,695.74,975.56
14,10,-12,969.33,1045.36
15,-1,13,1238.9,1180.12
15,3,3,16216.9,3017.45
15,9,-9,729.71,763.21
16,2,6,2255.89,1584.3
17,1,9,1018.22,1143.99
18,0,12,433.75,851.8
18,2,8,1207.46,1644.72
18,8,-6,806.62,1325.35
19,7,-3,2218.04,1600.3
20,4,4,224.4,764.02
20,6,0,2421.25,1923.42
-20,-4,0,734.47,1198.3
-20,-2,-4,7392.17,3515.0
-20,0,-8,1221.23,1198.31
-19,-5,3,3384.5,1427.9
-18,-6,6,79.05,1342.07
-18,0,-8,2045.37,1542.97
-17,-7,9,850.82,1171.63
-17,-3,-1,4718.94,2344.02
-17,-1,-5,1676.73,1291.85
-17,1,-9,917.11,972.1
-17,3,-13,329.07,1001.1
-16,-8,12,1232.77,1044.81
-16,-6,6,-300.95,760.65
-16,-4,2,2808.07,1810.8
-15,-7,9,889.25,852.03
-15,1,-9,1841.48,1321.97
-15,3,-13,-2.99,1131.53
-14,-8,12,697.05,856.04
-14,-2,-2,71564.88,6899.66
-14,0,-6,669.94,1012.04
-14,2,-10,689.1,891.72
-14,4,-14,1030.25,1041.17
-13,-5,5,385.18,935.82
-12,-8,14,754.97,972.95
-12,-6,8,527.44,1009.35
-12,2,-10,933.12,1178.93
-11,-7,11,931.58,975.22
-11,-1,-3,44881.1,1936.9
-11,1,-7,123.41,978.84
-11,3,-11,469.45,977.93
-11,5,-15,1331.44,1002.53
-10,-8,14,202.18,851.51
-10,-4,4,232.95,1020.39
-10,6,-16,500.15,804.95
-9,-9,17,493.76,718.65
-9,-5,7,7065.22,1099.58
-8,-8,16,1080.28,935.59
-8,-6,10,9973.09,1072.97
-8,0,-4,66476.42,1859.27
-8,2,-8,2040.1,1132.36
-8,4,-12,3538.45,1025.71
-8,6,-16,313.79,927.72
-7,-7,13,728.14,899.85
-7,-3,3,1407.28,837.33
-7,5,-13,543.19,710.39
-7,7,-17,737.23,933.9
-6,-8,16,513.02,763.09
-6,-4,6,2432.3,1021.38
-6,8,-18,46.69,759.5
-5,-7,15,538.39,899.66
-5,-5,9,2204.32,1008.62
-5,3,-9,16359.9,1126.15
-5,5,-13,3519.08,990.65
-4,-8,18,-92.48,899.36
-4,-6,12,653.89,906.09
